Artifact, Size (Bytes)
databasemigrationservice-jvm, 4938133
servicediscovery-jvm, 1406046
ec2instanceconnect-jvm, 218223
waf, 647
geomaps-jvm, 298030
transcribestreaming, 647
bedrockagentcore, 647
osis-jvm, 891594
ssmquicksetup-jvm, 546281
sso-jvm, 212824
costoptimizationhub, 647
chimesdkmeetings, 647
sagemakermetrics-jvm, 183831
pinpointemail-jvm, 1494668
kinesisvideo-jvm, 1291120
elasticbeanstalk-jvm, 2179438
panorama, 647
dynamodb-mapper, 647
comprehend-jvm, 3798130
iottwinmaker, 647
mq, 647
s3, 647
fis-jvm, 1482687
elasticache, 647
mturk, 647
s3vectors-jvm, 694071
finspacedata, 647
sagemakerruntime-jvm, 226221
partnercentralselling, 647
apigateway-jvm, 3750741
iam, 647
aiops, 647
managedblockchainquery, 647
mediaconnect, 647
emrserverless, 647
route53resolver-jvm, 2479616
rum, 647
timestreamquery-jvm, 1086784
docdb, 647
kinesisanalyticsv2-jvm, 2512475
personalizeevents-jvm, 248369
route53domains, 647
verifiedpermissions-jvm, 1717378
aws-http-jvm, 73477
apigatewayv2, 647
docdbelastic, 647
kms-jvm, 2195325
cleanrooms-jvm, 4788592
neptunegraph-jvm, 1419762
mturk-jvm, 1244582
transcribe, 647
mediatailor, 647
cloudtrail-jvm, 2852669
pcaconnectorad-jvm, 1478021
migrationhuborchestrator-jvm, 1220789
organizations, 647
mediapackage-jvm, 1045642
socialmessaging, 647
ssmsap, 647
pcs, 647
identitystore-jvm, 823835
pricing, 647
lexmodelbuildingservice, 647
pinpoint, 647
codeguruprofiler, 647
repostspace-jvm, 704394
iotsecuretunneling, 647
timestreamwrite, 647
pcaconnectorscep-jvm, 512236
cloudwatchevents, 647
licensemanagerlinuxsubscriptions-jvm, 479818
apigateway, 647
ram, 647
autoscalingplans, 647
kafkaconnect-jvm, 1193344
shield, 647
customerprofiles-jvm, 4039125
marketplacecommerceanalytics, 647
supportapp-jvm, 353324
sagemakerfeaturestoreruntime-jvm, 280889
iottwinmaker-jvm, 2204648
cognitoidentityprovider-jvm, 4909139
bcmpricingcalculator, 647
bcmrecommendedactions, 647
amplifyuibuilder-jvm, 1844268
ec2instanceconnect, 647
sagemaker, 647
bcmdashboards-jvm, 719058
marketplacedeployment, 647
route53-jvm, 3048149
elasticloadbalancing, 647
connectcases-jvm, 2022661
appconfig-jvm, 1477123
s3vectors, 647
invoicing, 647
ivschat, 647
healthlake-jvm, 651387
elasticloadbalancingv2-jvm, 2800458
kinesisvideosignaling-jvm, 174729
codestarnotifications-jvm, 569479
amplifybackend-jvm, 1395540
rtbfabric, 647
connectcases, 647
scheduler-jvm, 682892
cloudwatch-jvm, 1766522
notificationscontacts-jvm, 346658
arczonalshift, 647
rds-jvm, 7699299
costandusagereportservice-jvm, 389851
inspector-jvm, 1619789
chatbot, 647
bedrockdataautomation-jvm, 1196811
appconfigdata-jvm, 175050
b2bi-jvm, 1871890
comprehendmedical-jvm, 1225420
marketplacedeployment-jvm, 223727
apigatewaymanagementapi, 647
chimesdkmediapipelines-jvm, 2206255
omics, 647
repostspace, 647
dataexchange-jvm, 1952976
route53recoverycluster, 647
kinesisanalytics, 647
connect-jvm, 13181558
dynamodb-mapper-jvm, 555724
backup-jvm, 3415053
datasync-jvm, 2182500
grafana-jvm, 1067657
migrationhub-jvm, 803990
wafregional, 647
workmailmessageflow, 647
iotmanagedintegrations-jvm, 3047562
shield-jvm, 1285439
marketplaceentitlementservice-jvm, 147420
ecr-jvm, 2281632
sns-jvm, 1466297
qconnect-jvm, 4674713
cloudsearch, 647
connectcontactlens, 647
aws-endpoint, 647
codecommit, 647
internetmonitor-jvm, 824912
kinesisvideoarchivedmedia, 647
supportapp, 647
route53recoverycontrolconfig, 647
cloudhsm-jvm, 564142
backupgateway, 647
migrationhubrefactorspaces-jvm, 1075979
workspacesweb-jvm, 2394264
pinpointsmsvoice, 647
neptunegraph, 647
servicecatalog-jvm, 3153648
scheduler, 647
aws-endpoint-jvm, 10966
managedblockchain-jvm, 1249279
amplifyuibuilder, 647
rtbfabric-jvm, 1159348
lightsail-jvm, 6012077
computeoptimizer-jvm, 3201987
groundstation-jvm, 2017452
sesv2, 647
servicecatalogappregistry, 647
xray-jvm, 1792055
ec2-jvm, 33151369
cognitoidentity, 647
autoscaling-jvm, 2998736
proton-jvm, 3116200
redshift, 647
kinesisvideomedia-jvm, 159327
opensearchserverless, 647
iotanalytics, 647
billingconductor, 647
dsql-jvm, 486762
sagemakergeospatial-jvm, 1495687
cleanrooms, 647
evs-jvm, 683707
databrew, 647
comprehendmedical, 647
pipes, 647
iotjobsdataplane, 647
controlcatalog-jvm, 526136
sagemakergeospatial, 647
cloudtraildata-jvm, 165528
mediastore-jvm, 613899
fsx, 647
forecast-jvm, 2572213
greengrassv2, 647
cloud9-jvm, 532846
route53recoveryreadiness, 647
guardduty, 647
support-jvm, 718489
mwaa, 647
secretsmanager-jvm, 851312
autoscaling, 647
mwaa-jvm, 612377
docdb-jvm, 2545001
cognitoidentity-jvm, 838818
account-jvm, 480743
s3control, 647
wellarchitected-jvm, 2731104
auditmanager-jvm, 2287150
polly, 647
ssmcontacts-jvm, 1463779
datapipeline-jvm, 732286
dsql, 647
braket, 647
cognitoidentityprovider, 647
finspacedata-jvm, 1196711
accessanalyzer, 647
transcribe-jvm, 2018662
geoplaces-jvm, 1122491
taxsettings-jvm, 1171504
codebuild, 647
acmpca, 647
lexruntimeservice, 647
waf-jvm, 2893477
health, 647
synthetics-jvm, 1077445
keyspaces, 647
drs, 647
dynamodbstreams, 647
gameliftstreams-jvm, 944982
ecrpublic-jvm, 1025551
ssmincidents-jvm, 1391439
securitylake, 647
kinesisvideo, 647
medialive-jvm, 9795803
taxsettings, 647
neptune-jvm, 3155862
glacier-jvm, 1265229
identitystore, 647
billing, 647
workspacesinstances, 647
entityresolution-jvm, 1762468
lambda, 647
aws-core, 647
transfer-jvm, 2883163
hll-codegen, 120718
rekognition-jvm, 4120169
ec2, 647
directoryservicedata-jvm, 716672
cognitosync-jvm, 641222
mediapackagev2, 647
s3outposts-jvm, 302817
networkmanager-jvm, 3403475
marketplacecommerceanalytics-jvm, 162029
mgn, 647
supplychain-jvm, 1378861
wellarchitected, 647
sfn-jvm, 1989154
globalaccelerator-jvm, 2015457
forecastquery-jvm, 171412
emrserverless-jvm, 953640
glacier, 647
devicefarm, 647
ecs, 647
rdsdata, 647
chimesdkmessaging, 647
eks-jvm, 3064474
rolesanywhere-jvm, 978245
applicationinsights-jvm, 1143719
rolesanywhere, 647
appintegrations-jvm, 960642
ivsrealtime-jvm, 1684630
paymentcryptography-jvm, 1252952
chime-jvm, 1937900
fms, 647
globalaccelerator, 647
resourcegroupstaggingapi, 647
codestarconnections, 647
verifiedpermissions, 647
iotsitewise-jvm, 4976020
cloudfrontkeyvaluestore-jvm, 302211
marketplacereporting, 647
artifact, 647
elastictranscoder-jvm, 973250
marketplacemetering-jvm, 382681
athena-jvm, 2481044
sagemakeredge-jvm, 233659
mediaconnect-jvm, 2668539
s3-jvm, 4825187
gamelift-jvm, 5317284
drs-jvm, 2419637
codedeploy, 647
bedrockdataautomationruntime-jvm, 378378
redshift-jvm, 6371699
backupgateway-jvm, 843312
serverlessapplicationrepository, 647
codeconnections-jvm, 1060266
sts-jvm, 421567
sts, 647
firehose, 647
appflow, 647
billingconductor-jvm, 1674136
comprehend, 647
greengrass, 647
kendra-jvm, 4334796
applicationcostprofiler-jvm, 310504
dax-jvm, 1000508
bedrockagentruntime, 647
timestreaminfluxdb, 647
sesv2-jvm, 4041387
aws-core-jvm, 5980
notifications-jvm, 1526419
ecrpublic, 647
codeartifact-jvm, 1730200
firehose-jvm, 2115713
iotthingsgraph, 647
dynamodb-mapper-schema-codegen, 37815
socialmessaging-jvm, 868815
mediastoredata-jvm, 228400
route53recoveryreadiness-jvm, 1073440
signer-jvm, 830110
dynamodbstreams-jvm, 345540
cloudhsmv2-jvm, 681101
keyspaces-jvm, 1028001
sqs, 647
greengrass-jvm, 2643124
textract, 647
translate-jvm, 948872
finspace, 647
cloudfront-jvm, 7608564
kms, 647
licensemanager-jvm, 2102407
freetier, 647
lexruntimev2, 647
mediastore, 647
networkmonitor, 647
snowdevicemanagement, 647
kinesisvideosignaling, 647
athena, 647
appsync, 647
detective-jvm, 1076921
oam-jvm, 560336
directconnect-jvm, 2153494
aws-config-jvm, 1050428
appstream-jvm, 2994960
elasticsearchservice-jvm, 2552975
appsync-jvm, 2855595
rbin, 647
bedrockagent, 647
elasticbeanstalk, 647
route53, 647
redshiftserverless, 647
licensemanager, 647
outposts-jvm, 1497829
sfn, 647
workspacesthinclient-jvm, 699793
elasticloadbalancingv2, 647
bcmrecommendedactions-jvm, 244383
fms-jvm, 2258228
applicationsignals, 647
bedrock-jvm, 5457114
datapipeline, 647
bedrockruntime, 647
sagemakeredge, 647
amp, 647
outposts, 647
timestreaminfluxdb-jvm, 997239
servicequotas, 647
iotdeviceadvisor, 647
keyspacesstreams-jvm, 396103
rds, 647
kinesis, 647
migrationhubconfig, 647
glue-jvm, 13153199
sagemakera2iruntime, 647
apigatewayv2-jvm, 2405264
dlm-jvm, 714863
hll-mapping-core, 647
inspectorscan-jvm, 150126
medicalimaging-jvm, 857419
appflow-jvm, 3047192
qapps-jvm, 1456323
finspace-jvm, 1991849
codebuild-jvm, 2982923
managedblockchain, 647
eks, 647
appconfigdata, 647
kinesisanalyticsv2, 647
cloudsearchdomain, 647
ram-jvm, 1395361
controltower-jvm, 1210553
gameliftstreams, 647
networkmonitor-jvm, 486909
iot-jvm, 9947803
redshiftdata, 647
notifications, 647
backupsearch, 647
ivschat-jvm, 676578
connectcontactlens-jvm, 228182
workmail-jvm, 2745830
iotdeviceadvisor-jvm, 565948
lexruntimev2-jvm, 805360
amplify-jvm, 1352138
mailmanager, 647
route53domains-jvm, 1508358
georoutes, 647
eventbridge, 647
simspaceweaver, 647
iotsecuretunneling-jvm, 343157
marketplacemetering, 647
mediastoredata, 647
personalizeruntime, 647
cloud9, 647
chimesdkidentity-jvm, 1099781
mpa, 647
voiceid, 647
personalizeevents, 647
docdbelastic-jvm, 721250
computeoptimizer, 647
codeartifact, 647
iotdataplane-jvm, 343666
personalizeruntime-jvm, 200836
ioteventsdata, 647
emr, 647
panorama-jvm, 1541290
iotevents, 647
cloudformation-jvm, 4219430
datazone-jvm, 8481812
evidently, 647
workdocs-jvm, 1897395
lambda-jvm, 3194347
b2bi, 647
securityir-jvm, 1008477
snowdevicemanagement-jvm, 646944
iotthingsgraph-jvm, 1292620
chimesdkmessaging-jvm, 1830891
ssoadmin-jvm, 2541459
odb-jvm, 1782364
cloudformation, 647
bedrockagentcorecontrol-jvm, 3205281
s3tables, 647
aws-http, 647
fsx-jvm, 3559496
pcaconnectorscep, 647
mailmanager-jvm, 2742547
networkflowmonitor, 647
lexruntimeservice-jvm, 463130
internetmonitor, 647
applicationautoscaling-jvm, 1044903
qbusiness, 647
kendraranking-jvm, 400382
apigatewaymanagementapi-jvm, 147495
eventbridge-jvm, 2434877
ivs-jvm, 1334126
braket-jvm, 901026
cloudtrail, 647
bedrockdataautomation, 647
directoryservice-jvm, 3111677
iotfleetwise-jvm, 2819177
batch-jvm, 2709467
ssooidc-jvm, 320858
medialive, 647
trustedadvisor, 647
account, 647
iotanalytics-jvm, 1829408
networkfirewall, 647
arcregionswitch, 647
